date	iso2c	res	exr	d_exr	capital_gains
2005-01-01	MY	70152.4800746077	3.78	-0.020000000000000018	-1323.511737684653
2006-01-01	MY	82425.8218831742	3.5315	-0.24849999999999994	-17432.89129854001
2007-01-01	MY	101312.781444723	3.3065	-0.22499999999999964	-18545.809923714165
2008-01-01	MY	91527.8495649209	3.464	0.15749999999999975	15956.763077543848
2009-01-01	MY	96712.579214866	3.4245	-0.03949999999999987	-3615.350057814364
2010-01-01	MY	106524.881565894	3.0835	-0.3410000000000002	-32978.98951226933
2011-01-01	MY	133617.956491948	3.177	0.09350000000000014	9960.076426411104
2012-01-01	MY	139723.902665941	3.05825	-0.11874999999999991	-15867.132333418811
2013-01-01	MY	134854.014187988	3.2815	0.22324999999999973	31193.36127017129
2014-01-01	MY	115937.360553827	3.495	0.21350000000000025	28791.332029135472
2015-01-01	MY	95287.4766251486	4.292	0.7969999999999997	92402.07636140009
2016-01-01	MY	94500.9700741533	4.486	0.19399999999999995	18485.770465278823
2017-01-01	MY	102446.262265282	4.062	-0.4239999999999995	-40068.41131144095
2018-01-01	MY	101443.77600787	4.1385	0.07649999999999935	7837.139063294006
2019-01-01	MY	103612.962102025	4.0925	-0.045999999999999375	-4666.413696361957
2002-01-01	NG	7331.48730554688	126.4	NA	NA
2003-01-01	NG	7128.57583014039	136.5	10.099999999999994	74048.02178602344
2004-01-01	NG	16955.7815279092	132.35	-4.150000000000006	-29583.58969508266
2005-01-01	NG	28279.7680040272	129	-3.3499999999999943	-56801.868118495724
2006-01-01	NG	42298.8912583568	128.27	-0.7299999999999898	-20644.230642939565
2007-01-01	NG	51334.4093963092	117.968	-10.302000000000007	-435763.17774359207
2008-01-01	NG	53001.9086351553	132.56	14.591999999999999	749071.7019109438
2009-01-01	NG	44762.8380595848	149.58	17.02000000000001	902092.4849703438
2010-01-01	NG	34919.4812260491	150.66	1.079999999999984	48343.86510435087
2011-01-01	NG	35211.9745860324	158.27	7.610000000000014	265737.25213023415
2012-01-01	NG	46405.3572986947	157.33	-0.9399999999999977	-33099.256110870374
2013-01-01	NG	45427.3929589111	157.26	-0.0700000000000216	-3248.3750109096313
2014-01-01	NG	36668.8228499704	169.68	12.420000000000016	564208.2205496766
2015-01-01	NG	28283.3265910105	197	27.319999999999993	1001792.240261191
2016-01-01	NG	27233.0266144199	305	108	3054599.271829134
2017-01-01	NG	39608.5874894912	306	1	27233.0266144199
2018-01-01	NG	42838.869124791	307	1	39608.5874894912
2002-01-01	OM	3173.68619532871	0.3845	NA	NA
2003-01-01	OM	3593.74828344145	0.3845	0	0
2004-01-01	OM	3597.60886170815	0.3845	0	0
2005-01-01	OM	4358.38463197199	0.3845	0	0
2006-01-01	OM	5014.43903722634	0.3845	0	0
2007-01-01	OM	9523.98975243137	0.3845	0	0
2008-01-01	OM	11582.4214589705	0.3845	0	0
2009-01-01	OM	12203.620645786	0.3845	0	0
2010-01-01	OM	13025.2701204615	0.3845	0	0
2011-01-01	OM	14366.2415060241	0.3845	0	0
2012-01-01	OM	14401.1288157205	0.3845	0	0
2013-01-01	OM	15951.0329102884	0.3845	0	0
2014-01-01	OM	16324.4421936461	0.3845	0	0
2015-01-01	OM	17543.9805636498	0.3845	0	0
2016-01-01	OM	20262.2423438267	0.3845	0	0
2017-01-01	OM	16088.8071485609	0.3845	0	0
2018-01-01	OM	17388.3706701947	0.3845	0	0
2002-01-01	PE	9725.74952977007	3.514	NA	NA
2003-01-01	PE	10239.4630478991	3.463	-0.05099999999999971	-496.01322601827076
2004-01-01	PE	12665.1005220762	3.2815	-0.18150000000000022	-1858.4625431936888
2005-01-01	PE	14175.2787057677	3.43	0.1485000000000003	1880.7674275283196
2006-01-01	PE	17439.1859875335	3.1955	-0.23450000000000015	-3324.1028565025276
2007-01-01	PE	27784.2262956442	2.996	-0.1995	-3479.117604512933
2008-01-01	PE	31254.0626511182	3.1395	0.14349999999999996	3987.0364734249415
2009-01-01	PE	33230.3612515813	2.8895	-0.25	-7813.51566277955
2010-01-01	PE	44212.7933770204	2.8085	-0.08099999999999996	-2691.659261378084
2011-01-01	PE	48928.5536645068	2.696	-0.11249999999999982	-4973.939254914788
2012-01-01	PE	64166.7820844175	2.55	-0.14600000000000035	-7143.56883501801
2013-01-01	PE	65762.1950774892	2.795	0.2450000000000001	15720.861610682294
2014-01-01	PE	62504.9611734606	2.985	0.18999999999999995	12494.817064722945
2015-01-01	PE	61593.8470771508	3.4105	0.4255	26595.860979307487
2016-01-01	PE	61806.6114285193	3.356	-0.05449999999999999	-3356.8646657047184
2017-01-01	PE	63825.5785369287	3.2415	-0.11450000000000005	-7076.857008565463
2018-01-01	PE	60331.9756555341	3.374	0.13250000000000028	8456.88915614307
2002-01-01	PH	16365.128364983	53.096	NA	NA
2003-01-01	PH	17063.0631630659	55.569	2.473000000000006	40470.96244660306
2004-01-01	PH	16228.3539456323	56.267	0.6980000000000004	11910.018087820006
2005-01-01	PH	18494.3632704456	53.067	-3.200000000000003	-51930.732626023404
2006-01-01	PH	22966.7186167326	49.132	-3.9350000000000023	-72775.31946920347
2007-01-01	PH	33751.2077897217	41.401	-7.7309999999999945	-177555.7016259596
2008-01-01	PH	37550.8235943423	47.485	6.083999999999996	205342.34819266672
2009-01-01	PH	44242.6428373944	46.356	-1.1289999999999978	-42394.87983801237
2010-01-01	PH	62373.1014445526	43.885	-2.4710000000000036	-109323.57045120173
2011-01-01	PH	75302.4317871415	43.928	0.04299999999999926	2682.043362115716
2012-01-01	PH	83831.3599406134	41.192	-2.735999999999997	-206027.45336961892
2013-01-01	PH	83187.0373784748	44.414	3.2220000000000013	270104.6417286565
